P_CODE,A_SECTOR,SHELF,REEF_NAME,REPORT_YEAR,SITE_NO,TRANSECT_NO,START_DEPTH
RM,WH,O,HYDE REEF,2019,1,2,8
RM,WH,O,HYDE REEF,2019,1,2,9
RM,WH,O,HYDE REEF,2019,1,3,9
RM,WH,O,HYDE REEF,2019,1,4,8
RM,WH,O,HYDE REEF,2019,1,4,9
RM,WH,O,HYDE REEF,2019,1,5,7
RM,WH,O,HYDE REEF,2019,1,5,9
RM,WH,O,HYDE REEF,2019,2,1,7
RM,WH,O,HYDE REEF,2019,2,1,8
RM,WH,O,HYDE REEF,2019,2,2,8
RM,WH,O,HYDE REEF,2019,2,3,7
RM,WH,O,HYDE REEF,2019,2,3,8
RM,WH,O,HYDE REEF,2019,2,4,7
RM,WH,O,HYDE REEF,2019,2,4,8
RM,WH,O,HYDE REEF,2019,2,5,7
RM,WH,O,HYDE REEF,2019,3,1,7
RM,WH,O,HYDE REEF,2019,3,2,6
RM,WH,O,HYDE REEF,2019,3,2,7
RM,WH,O,HYDE REEF,2019,3,3,6
RM,WH,O,HYDE REEF,2019,3,3,7
RM,WH,O,HYDE REEF,2019,3,4,6
RM,WH,O,HYDE REEF,2019,3,4,8
RM,WH,O,HYDE REEF,2019,3,5,7
RM,WH,O,HYDE REEF,2019,3,5,8
RM,WH,O,HYDE REEF,2021,1,1,8
RM,WH,O,HYDE REEF,2021,1,2,8
RM,WH,O,HYDE REEF,2021,1,3,6
RM,WH,O,HYDE REEF,2021,1,3,9
RM,WH,O,HYDE REEF,2021,1,4,7
RM,WH,O,HYDE REEF,2021,1,4,8
RM,WH,O,HYDE REEF,2021,1,5,8
RM,WH,O,HYDE REEF,2021,2,1,7
RM,WH,O,HYDE REEF,2021,2,2,7
RM,WH,O,HYDE REEF,2021,2,3,7
RM,WH,O,HYDE REEF,2021,2,4,7
RM,WH,O,HYDE REEF,2021,2,5,7
RM,WH,O,HYDE REEF,2021,3,1,6
RM,WH,O,HYDE REEF,2021,3,1,7
RM,WH,O,HYDE REEF,2021,3,2,7
RM,WH,O,HYDE REEF,2021,3,3,7
RM,WH,O,HYDE REEF,2021,3,4,7
RM,WH,O,HYDE REEF,2021,3,5,7
RM,WH,O,HYDE REEF,2021,3,5,8
RM,WH,O,REBE REEF,1995,1,1,8
RM,WH,O,REBE REEF,1995,1,2,9
RM,WH,O,REBE REEF,1995,1,3,8
RM,WH,O,REBE REEF,1995,1,3,9
RM,WH,O,REBE REEF,1995,1,4,8
RM,WH,O,REBE REEF,1995,1,4,9
RM,WH,O,REBE REEF,1995,1,5,9
RM,WH,O,REBE REEF,1995,2,1,7
RM,WH,O,REBE REEF,1995,2,1,8
RM,WH,O,REBE REEF,1995,2,2,8
RM,WH,O,REBE REEF,1995,2,3,8
RM,WH,O,REBE REEF,1995,2,4,8
RM,WH,O,REBE REEF,1995,2,4,9
RM,WH,O,REBE REEF,1995,2,5,8
RM,WH,O,REBE REEF,1995,2,5,9
RM,WH,O,REBE REEF,1995,3,1,6
RM,WH,O,REBE REEF,1995,3,1,8
RM,WH,O,REBE REEF,1995,3,2,7
RM,WH,O,REBE REEF,1995,3,2,9
RM,WH,O,REBE REEF,1995,3,3,8
RM,WH,O,REBE REEF,1995,3,3,9
RM,WH,O,REBE REEF,1995,3,4,8
RM,WH,O,REBE REEF,1995,3,5,8
RM,WH,O,REBE REEF,1995,3,5,10
RM,WH,O,REBE REEF,1996,1,1,8
RM,WH,O,REBE REEF,1996,1,1,10
RM,WH,O,REBE REEF,1996,1,2,9
RM,WH,O,REBE REEF,1996,1,3,8
RM,WH,O,REBE REEF,1996,1,4,7
RM,WH,O,REBE REEF,1996,1,4,10
RM,WH,O,REBE REEF,1996,1,5,9
RM,WH,O,REBE REEF,1996,2,1,8
RM,WH,O,REBE REEF,1996,2,1,9
RM,WH,O,REBE REEF,1996,2,2,8
RM,WH,O,REBE REEF,1996,2,2,9
RM,WH,O,REBE REEF,1996,2,3,9
RM,WH,O,REBE REEF,1996,2,3,10
RM,WH,O,REBE REEF,1996,2,4,10
RM,WH,O,REBE REEF,1996,2,5,8
RM,WH,O,REBE REEF,1996,2,5,10
RM,WH,O,REBE REEF,1996,3,1,6
RM,WH,O,REBE REEF,1996,3,1,7
RM,WH,O,REBE REEF,1996,3,2,6
RM,WH,O,REBE REEF,1996,3,2,8
RM,WH,O,REBE REEF,1996,3,3,8
RM,WH,O,REBE REEF,1996,3,4,6
RM,WH,O,REBE REEF,1996,3,4,9
RM,WH,O,REBE REEF,1996,3,5,7
RM,WH,O,REBE REEF,1996,3,5,9
RM,WH,O,REBE REEF,1997,1,1,9
RM,WH,O,REBE REEF,1997,1,2,9
RM,WH,O,REBE REEF,1997,1,3,9
RM,WH,O,REBE REEF,1997,1,3,10
RM,WH,O,REBE REEF,1997,1,4,9
RM,WH,O,REBE REEF,1997,1,4,10
RM,WH,O,REBE REEF,1997,1,5,10
RM,WH,O,REBE REEF,1997,2,1,7
RM,WH,O,REBE REEF,1997,2,1,8
RM,WH,O,REBE REEF,1997,2,2,8
RM,WH,O,REBE REEF,1997,2,2,9
RM,WH,O,REBE REEF,1997,2,3,9
RM,WH,O,REBE REEF,1997,2,4,9
RM,WH,O,REBE REEF,1997,2,5,8
RM,WH,O,REBE REEF,1997,2,5,9
RM,WH,O,REBE REEF,1997,3,1,7
RM,WH,O,REBE REEF,1997,3,2,6
RM,WH,O,REBE REEF,1997,3,2,7
RM,WH,O,REBE REEF,1997,3,3,7
RM,WH,O,REBE REEF,1997,3,3,8
RM,WH,O,REBE REEF,1997,3,4,7
RM,WH,O,REBE REEF,1997,3,4,8
RM,WH,O,REBE REEF,1997,3,5,8
RM,WH,O,REBE REEF,1997,3,5,9
RM,WH,O,REBE REEF,1998,1,1,8
RM,WH,O,REBE REEF,1998,1,2,8
RM,WH,O,REBE REEF,1998,1,2,9
RM,WH,O,REBE REEF,1998,1,3,9
RM,WH,O,REBE REEF,1998,1,4,8
RM,WH,O,REBE REEF,1998,1,4,9
RM,WH,O,REBE REEF,1998,1,5,9
RM,WH,O,REBE REEF,1998,1,5,10
RM,WH,O,REBE REEF,1998,2,1,8
RM,WH,O,REBE REEF,1998,2,2,8
RM,WH,O,REBE REEF,1998,2,2,9
RM,WH,O,REBE REEF,1998,2,3,9
RM,WH,O,REBE REEF,1998,2,3,10
RM,WH,O,REBE REEF,1998,2,4,10
RM,WH,O,REBE REEF,1998,2,5,9
RM,WH,O,REBE REEF,1998,2,5,10
RM,WH,O,REBE REEF,1998,3,1,7
RM,WH,O,REBE REEF,1998,3,1,9
RM,WH,O,REBE REEF,1998,3,2,8
RM,WH,O,REBE REEF,1998,3,2,9
RM,WH,O,REBE REEF,1998,3,3,9
RM,WH,O,REBE REEF,1998,3,3,10
RM,WH,O,REBE REEF,1998,3,4,9
RM,WH,O,REBE REEF,1998,3,4,10
RM,WH,O,REBE REEF,1998,3,5,9
RM,WH,O,REBE REEF,1998,3,5,10
RM,WH,O,REBE REEF,1999,1,1,11
RM,WH,O,REBE REEF,1999,1,2,11
RM,WH,O,REBE REEF,1999,1,3,11
RM,WH,O,REBE REEF,1999,1,4,10
RM,WH,O,REBE REEF,1999,1,4,11
RM,WH,O,REBE REEF,1999,1,5,11
RM,WH,O,REBE REEF,1999,1,5,12
RM,WH,O,REBE REEF,1999,2,1,8
RM,WH,O,REBE REEF,1999,2,2,9
RM,WH,O,REBE REEF,1999,2,3,9
RM,WH,O,REBE REEF,1999,2,3,10
